bowler,bowling_style,batting_style,playing_role
Navdeep Saini,Right-arm fast,Right-hand bat,Bowler
DS Rathi,,,
Brijesh Sharma,,,
Shivang Kumar,,,
Yash Raj Punja,,,
PP Hinge,,,
Gurjapneet Singh,,,
Ashok Sharma,,,
SR Dubey,,,
M Tiwari,,,
V Puthur,,,
Abhinandan Singh,,,
SS Mishra,,,
Krish Bhagat,,,
PVSN Raju,,,
Suryansh Shedge,,,
D Ferreira,,,
RS Ghosh,,,
Musheer Khan,,,
BJ Rohrer,,,
