batter,bowling_type,phase,balls_faced,runs_scored,dismissals,boundaries,strike_rate,balls_per_dismissal,dismissal_pct,boundary_pct,sufficient_sample
BCJ Cutting,Spin,middle,11,5,2,0,45.45,5.5,18.18,0.0,False
BE Hendricks,Pace,death,3,1,1,0,33.33,3.0,33.33,0.0,False
BJ Haddin,Pace,powerplay,5,13,0,2,260.0,,0.0,40.0,False
BJ Haddin,Spin,powerplay,6,5,1,1,83.33,6.0,16.67,16.67,False
BJ Hodge,Pace,death,267,467,15,64,174.91,17.8,5.62,23.97,True
BJ Hodge,Pace,middle,271,316,6,37,116.61,45.2,2.21,13.65,True
BJ Hodge,Pace,powerplay,125,112,6,16,89.6,20.8,4.8,12.8,True
BJ Hodge,Spin,death,106,139,4,12,131.13,26.5,3.77,11.32,True
BJ Hodge,Spin,middle,312,330,8,30,105.77,39.0,2.56,9.62,True
BJ Hodge,Spin,powerplay,37,36,1,6,97.3,37.0,2.7,16.22,True
BJ Rohrer,Pace,death,31,69,0,11,222.58,,0.0,35.48,True
BJ Rohrer,Pace,middle,58,53,5,6,91.38,11.6,8.62,10.34,True
BJ Rohrer,Pace,powerplay,1,0,1,0,0.0,1.0,100.0,0.0,False
BJ Rohrer,Spin,death,4,10,1,1,250.0,4.0,25.0,25.0,False
BJ Rohrer,Spin,middle,47,61,0,8,129.79,,0.0,17.02,True
BKG Mendis,Pace,powerplay,9,20,0,3,222.22,,0.0,33.33,False
BKG Mendis,Spin,middle,1,0,1,0,0.0,1.0,100.0,0.0,False
BMAJ Mendis,Pace,middle,13,9,2,0,69.23,6.5,15.38,0.0,False
BMAJ Mendis,Pace,powerplay,2,1,0,0,50.0,,0.0,0.0,False
BMAJ Mendis,Spin,middle,12,13,0,0,108.33,,0.0,0.0,False
BR Dunk,Pace,powerplay,30,30,3,5,100.0,10.0,10.0,16.67,True
BR Dunk,Spin,powerplay,5,10,0,2,200.0,,0.0,40.0,False
BR Sharath,Spin,middle,5,2,1,0,40.0,5.0,20.0,0.0,False
Basil Thampi,Pace,death,29,29,0,2,100.0,,0.0,6.9,False
Basil Thampi,Pace,middle,5,3,0,0,60.0,,0.0,0.0,False
Basil Thampi,Spin,death,1,0,1,0,0.0,1.0,100.0,0.0,False
Bipul Sharma,Pace,death,86,131,3,13,152.33,28.7,3.49,15.12,True
Bipul Sharma,Pace,middle,11,13,0,1,118.18,,0.0,9.09,False
Bipul Sharma,Spin,death,23,41,2,6,178.26,11.5,8.7,26.09,False
Bipul Sharma,Spin,middle,3,2,0,0,66.67,,0.0,0.0,False
Brijesh Sharma,Pace,death,4,2,0,0,50.0,,0.0,0.0,False
C Bosch,Pace,death,39,73,1,10,187.18,39.0,2.56,25.64,True
C Bosch,Pace,middle,5,2,0,0,40.0,,0.0,0.0,False
C Bosch,Spin,death,11,5,0,0,45.45,,0.0,0.0,False
C Bosch,Unknown,death,8,17,1,3,212.5,8.0,12.5,37.5,False
C Connolly,Pace,death,26,62,0,9,238.46,,0.0,34.62,False
C Connolly,Pace,middle,62,84,4,11,135.48,15.5,6.45,17.74,True
C Connolly,Pace,powerplay,86,118,2,22,137.21,43.0,2.33,25.58,True
C Connolly,Spin,death,4,15,0,3,375.0,,0.0,75.0,False
C Connolly,Spin,middle,78,149,1,21,191.03,78.0,1.28,26.92,True
C Connolly,Spin,powerplay,10,11,1,2,110.0,10.0,10.0,20.0,False
C Connolly,Unknown,death,7,17,1,3,242.86,7.0,14.29,42.86,False
C Connolly,Unknown,middle,21,27,2,3,128.57,10.5,9.52,14.29,False
C Connolly,Unknown,powerplay,7,8,0,1,114.29,,0.0,14.29,False
C Green,Pace,death,118,216,2,30,183.05,59.0,1.69,25.42,True
C Green,Pace,middle,103,147,10,17,142.72,10.3,9.71,16.5,True
C Green,Pace,powerplay,132,184,5,29,139.39,26.4,3.79,21.97,True
C Green,Spin,death,25,47,1,6,188.0,25.0,4.0,24.0,False
C Green,Spin,middle,241,334,7,36,138.59,34.4,2.9,14.94,True
C Green,Spin,powerplay,36,70,0,12,194.44,,0.0,33.33,True
C Green,Unknown,death,2,2,0,0,100.0,,0.0,0.0,False
C Green,Unknown,middle,21,26,0,3,123.81,,0.0,14.29,False
C Green,Unknown,powerplay,3,3,0,0,100.0,,0.0,0.0,False
C Madan,Pace,powerplay,16,15,1,3,93.75,16.0,6.25,18.75,False
C Madan,Spin,powerplay,3,0,0,0,0.0,,0.0,0.0,False
C Munro,Pace,death,5,4,0,0,80.0,,0.0,0.0,False
C Munro,Pace,middle,11,14,1,2,127.27,11.0,9.09,18.18,False
C Munro,Pace,powerplay,59,82,2,14,138.98,29.5,3.39,23.73,True
C Munro,Spin,middle,34,28,4,3,82.35,8.5,11.76,8.82,True
C Munro,Spin,powerplay,32,49,2,8,153.12,16.0,6.25,25.0,True
C Nanda,Pace,death,1,0,0,0,0.0,,0.0,0.0,False
C Sakariya,Pace,death,24,19,5,3,79.17,4.8,20.83,12.5,False
C Sakariya,Spin,death,3,0,0,0,0.0,,0.0,0.0,False
C Sakariya,Spin,middle,4,1,0,0,25.0,,0.0,0.0,False
C de Grandhomme,Pace,death,91,125,6,13,137.36,15.2,6.59,14.29,True
C de Grandhomme,Pace,middle,45,57,2,8,126.67,22.5,4.44,17.78,True
C de Grandhomme,Pace,powerplay,2,1,1,0,50.0,2.0,50.0,0.0,False
C de Grandhomme,Spin,death,22,35,0,4,159.09,,0.0,18.18,False
C de Grandhomme,Spin,middle,65,85,5,11,130.77,13.0,7.69,16.92,True
CA Ingram,Pace,death,32,45,4,7,140.62,8.0,12.5,21.88,True
CA Ingram,Pace,middle,35,39,2,4,111.43,17.5,5.71,11.43,True
CA Ingram,Pace,powerplay,9,8,1,1,88.89,9.0,11.11,11.11,False
CA Ingram,Spin,death,10,18,0,2,180.0,,0.0,20.0,False
CA Ingram,Spin,middle,85,89,4,12,104.71,21.2,4.71,14.12,True
CA Ingram,Spin,powerplay,9,6,0,1,66.67,,0.0,11.11,False
CA Lynn,Pace,death,31,35,4,3,112.9,7.8,12.9,9.68,True
CA Lynn,Pace,middle,134,227,7,33,169.4,19.1,5.22,24.63,True
CA Lynn,Pace,powerplay,397,596,11,107,150.13,36.1,2.77,26.95,True
CA Lynn,Spin,death,3,1,0,0,33.33,,0.0,0.0,False
CA Lynn,Spin,middle,237,287,10,26,121.1,23.7,4.22,10.97,True
CA Lynn,Spin,powerplay,143,183,5,29,127.97,28.6,3.5,20.28,True
CA Pujara,Pace,death,27,38,3,5,140.74,9.0,11.11,18.52,False
CA Pujara,Pace,middle,56,58,2,6,103.57,28.0,3.57,10.71,True
CA Pujara,Pace,powerplay,215,207,8,35,96.28,26.9,3.72,16.28,True
CA Pujara,Spin,death,14,9,1,0,64.29,14.0,7.14,0.0,False
CA Pujara,Spin,middle,65,70,1,7,107.69,65.0,1.54,10.77,True
CA Pujara,Spin,powerplay,14,8,2,1,57.14,7.0,14.29,7.14,False
CH Gayle,Pace,death,211,433,11,66,205.21,19.2,5.21,31.28,True
CH Gayle,Pace,middle,621,918,20,117,147.83,31.0,3.22,18.84,True
CH Gayle,Pace,powerplay,1479,2070,55,359,139.96,26.9,3.72,24.27,True
CH Gayle,Spin,death,73,148,3,23,202.74,24.3,4.11,31.51,True
CH Gayle,Spin,middle,667,1093,25,149,163.87,26.7,3.75,22.34,True
CH Gayle,Spin,powerplay,295,335,9,53,113.56,32.8,3.05,17.97,True
CH Morris,Pace,death,250,432,15,52,172.8,16.7,6.0,20.8,True
CH Morris,Pace,middle,38,51,1,7,134.21,38.0,2.63,18.42,True
CH Morris,Pace,powerplay,7,17,0,3,242.86,,0.0,42.86,False
CH Morris,Spin,death,48,67,1,8,139.58,48.0,2.08,16.67,True
CH Morris,Spin,middle,55,51,8,6,92.73,6.9,14.55,10.91,True
CJ Anderson,Pace,death,70,126,5,18,180.0,14.0,7.14,25.71,True
CJ Anderson,Pace,middle,125,138,2,18,110.4,62.5,1.6,14.4,True
CJ Anderson,Pace,powerplay,46,35,4,6,76.09,11.5,8.7,13.04,True
CJ Anderson,Spin,death,35,49,3,5,140.0,11.7,8.57,14.29,True
CJ Anderson,Spin,middle,132,173,5,21,131.06,26.4,3.79,15.91,True
CJ Anderson,Spin,powerplay,15,17,0,3,113.33,,0.0,20.0,False
CJ Ferguson,Pace,death,19,20,2,3,105.26,9.5,10.53,15.79,False
CJ Ferguson,Pace,middle,31,28,0,2,90.32,,0.0,6.45,True
CJ Ferguson,Pace,powerplay,11,9,0,1,81.82,,0.0,9.09,False
CJ Ferguson,Spin,death,4,3,0,0,75.0,,0.0,0.0,False
CJ Ferguson,Spin,middle,39,30,3,2,76.92,13.0,7.69,5.13,True
CJ Ferguson,Spin,powerplay,13,8,0,1,61.54,,0.0,7.69,False
CJ Jordan,Pace,death,55,68,7,6,123.64,7.9,12.73,10.91,True
CJ Jordan,Pace,middle,1,0,0,0,0.0,,0.0,0.0,False
CJ Jordan,Spin,death,16,12,1,0,75.0,16.0,6.25,0.0,False
CJ Jordan,Spin,middle,5,1,0,0,20.0,,0.0,0.0,False
CJ McKay,Pace,middle,13,7,1,0,53.85,13.0,7.69,0.0,False
CJ McKay,Spin,middle,2,1,0,0,50.0,,0.0,0.0,False
CK Kapugedera,Pace,death,20,15,2,0,75.0,10.0,10.0,0.0,False
CK Kapugedera,Pace,middle,3,1,1,0,33.33,3.0,33.33,0.0,False
CK Langeveldt,Pace,death,5,7,2,1,140.0,2.5,40.0,20.0,False
CK Langeveldt,Spin,middle,4,1,0,0,25.0,,0.0,0.0,False
CL White,Pace,death,150,283,8,36,188.67,18.8,5.33,24.0,True
CL White,Pace,middle,270,299,9,37,110.74,30.0,3.33,13.7,True
CL White,Pace,powerplay,89,88,6,13,98.88,14.8,6.74,14.61,True
CL White,Spin,death,43,80,1,9,186.05,43.0,2.33,20.93,True
CL White,Spin,middle,181,202,6,18,111.6,30.2,3.31,9.94,True
CL White,Spin,powerplay,27,19,1,1,70.37,27.0,3.7,3.7,False
CM Gautam,Pace,death,36,47,1,8,130.56,36.0,2.78,22.22,True
CM Gautam,Pace,middle,25,25,2,3,100.0,12.5,8.0,12.0,False
CM Gautam,Pace,powerplay,54,59,4,8,109.26,13.5,7.41,14.81,True
CM Gautam,Spin,death,8,8,1,1,100.0,8.0,12.5,12.5,False
CM Gautam,Spin,middle,19,21,0,1,110.53,,0.0,5.26,False
CM Gautam,Spin,powerplay,8,9,1,2,112.5,8.0,12.5,25.0,False
CR Brathwaite,Pace,death,71,134,8,20,188.73,8.9,11.27,28.17,True
CR Brathwaite,Pace,middle,13,7,1,0,53.85,13.0,7.69,0.0,False
CR Brathwaite,Spin,death,8,23,0,3,287.5,,0.0,37.5,False
CR Brathwaite,Spin,middle,19,17,3,3,89.47,6.3,15.79,15.79,False
CR Woakes,Pace,death,50,61,4,7,122.0,12.5,8.0,14.0,True
CR Woakes,Pace,middle,4,2,0,0,50.0,,0.0,0.0,False
CR Woakes,Spin,death,6,2,1,0,33.33,6.0,16.67,0.0,False
CR Woakes,Spin,middle,17,13,0,2,76.47,,0.0,11.76,False
CRD Fernando,Pace,death,3,4,0,0,133.33,,0.0,0.0,False
CV Varun,Pace,death,44,30,3,3,68.18,14.7,6.82,6.82,True
CV Varun,Spin,death,6,1,0,0,16.67,,0.0,0.0,False
CV Varun,Spin,middle,3,0,0,0,0.0,,0.0,0.0,False
D Brevis,Pace,death,28,67,5,11,239.29,5.6,17.86,39.29,False
D Brevis,Pace,middle,121,176,9,24,145.45,13.4,7.44,19.83,True
D Brevis,Pace,powerplay,56,68,3,12,121.43,18.7,5.36,21.43,True
D Brevis,Spin,death,9,18,0,3,200.0,,0.0,33.33,False
D Brevis,Spin,middle,162,246,5,29,151.85,32.4,3.09,17.9,True
D Brevis,Spin,powerplay,20,19,0,2,95.0,,0.0,10.0,False
D Brevis,Unknown,death,4,3,1,0,75.0,4.0,25.0,0.0,False
D Brevis,Unknown,middle,15,9,1,0,60.0,15.0,6.67,0.0,False
D Ferreira,Pace,death,68,126,6,19,185.29,11.3,8.82,27.94,True
D Ferreira,Pace,middle,43,57,2,9,132.56,21.5,4.65,20.93,True
D Ferreira,Pace,powerplay,5,3,0,0,60.0,,0.0,0.0,False
D Ferreira,Spin,death,18,57,2,9,316.67,9.0,11.11,50.0,False
D Ferreira,Spin,middle,22,33,1,5,150.0,22.0,4.55,22.73,False
D Ferreira,Unknown,death,8,9,0,1,112.5,,0.0,12.5,False
D Ferreira,Unknown,middle,21,30,0,4,142.86,,0.0,19.05,False
D Ferreira,Unknown,powerplay,6,11,0,2,183.33,,0.0,33.33,False
D Kalyankrishna,Pace,death,8,3,1,0,37.5,8.0,12.5,0.0,False
D Padikkal,Pace,death,86,124,12,20,144.19,7.2,13.95,23.26,True
D Padikkal,Pace,middle,366,482,20,64,131.69,18.3,5.46,17.49,True
D Padikkal,Pace,powerplay,657,912,27,152,138.81,24.3,4.11,23.14,True
D Padikkal,Spin,death,11,14,1,2,127.27,11.0,9.09,18.18,False
D Padikkal,Spin,middle,427,563,19,60,131.85,22.5,4.45,14.05,True
D Padikkal,Spin,powerplay,145,160,4,22,110.34,36.2,2.76,15.17,True
D Padikkal,Unknown,middle,11,13,1,1,118.18,11.0,9.09,9.09,False
D Padikkal,Unknown,powerplay,2,2,0,0,100.0,,0.0,0.0,False
D Pretorius,Pace,death,24,36,3,5,150.0,8.0,12.5,20.83,False
D Pretorius,Spin,death,4,8,1,1,200.0,4.0,25.0,25.0,False
D Salunkhe,Pace,death,10,14,1,2,140.0,10.0,10.0,20.0,False
D Salunkhe,Pace,middle,6,7,0,1,116.67,,0.0,16.67,False
D Salunkhe,Spin,death,7,11,0,2,157.14,,0.0,28.57,False
D Salunkhe,Spin,middle,1,1,0,0,100.0,,0.0,0.0,False
D Wiese,Pace,death,71,122,5,18,171.83,14.2,7.04,25.35,True
D Wiese,Pace,middle,17,16,0,0,94.12,,0.0,0.0,False
D Wiese,Spin,death,6,3,0,0,50.0,,0.0,0.0,False
D Wiese,Spin,middle,7,7,0,1,100.0,,0.0,14.29,False
D du Preez,Pace,death,3,2,1,0,66.67,3.0,33.33,0.0,False
D du Preez,Spin,death,6,5,0,0,83.33,,0.0,0.0,False
D du Preez,Spin,middle,4,3,0,0,75.0,,0.0,0.0,False
DA Miller,Pace,death,706,1265,38,170,179.18,18.6,5.38,24.08,True
DA Miller,Pace,middle,611,726,15,85,118.82,40.7,2.45,13.91,True
DA Miller,Pace,powerplay,102,77,5,10,75.49,20.4,4.9,9.8,True
DA Miller,Spin,death,144,212,8,21,147.22,18.0,5.56,14.58,True
DA Miller,Spin,middle,755,947,20,93,125.43,37.8,2.65,12.32,True
DA Miller,Spin,powerplay,16,25,1,3,156.25,16.0,6.25,18.75,False
DA Miller,Unknown,death,16,32,2,5,200.0,8.0,12.5,31.25,False
DA Miller,Unknown,middle,8,4,0,0,50.0,,0.0,0.0,False
DA Payne,Pace,death,5,6,0,0,120.0,,0.0,0.0,False
DA Warner,Pace,death,271,476,19,66,175.65,14.3,7.01,24.35,True
DA Warner,Pace,middle,846,1126,29,129,133.1,29.2,3.43,15.25,True
DA Warner,Pace,powerplay,1892,2583,63,417,136.52,30.0,3.33,22.04,True
DA Warner,Spin,death,84,152,5,20,180.95,16.8,5.95,23.81,True
DA Warner,Spin,middle,1098,1495,29,147,136.16,37.9,2.64,13.39,True
DA Warner,Spin,powerplay,511,735,9,120,143.84,56.8,1.76,23.48,True
DAJ Bracewell,Pace,death,9,12,0,1,133.33,,0.0,11.11,False
DB Das,Pace,death,86,99,6,11,115.12,14.3,6.98,12.79,True
DB Das,Pace,middle,43,37,0,3,86.05,,0.0,6.98,True
DB Das,Pace,powerplay,42,39,4,7,92.86,10.5,9.52,16.67,True
DB Das,Spin,death,11,18,0,3,163.64,,0.0,27.27,False
DB Das,Spin,middle,68,92,2,13,135.29,34.0,2.94,19.12,True
DB Das,Spin,powerplay,11,19,0,2,172.73,,0.0,18.18,False
