batter,bowling_type,phase,balls_faced,runs_scored,dismissals,boundaries,strike_rate,balls_per_dismissal,dismissal_pct,boundary_pct,sufficient_sample
DP Conway,Pace,middle,125,204,2,29,163.2,62.5,1.6,23.2,True
DP Conway,Pace,powerplay,295,361,6,56,122.37,49.2,2.03,18.98,True
DP Conway,Spin,death,20,32,0,4,160.0,,0.0,20.0,False
DP Conway,Spin,middle,217,317,6,37,146.08,36.2,2.76,17.05,True
DP Conway,Spin,powerplay,73,102,5,16,139.73,14.6,6.85,21.92,True
DP Nannes,Pace,death,2,1,0,0,50.0,,0.0,0.0,False
DP Nannes,Pace,middle,2,1,0,0,50.0,,0.0,0.0,False
DP Nannes,Spin,death,7,1,1,0,14.29,7.0,14.29,0.0,False
DP Nannes,Spin,middle,2,1,0,0,50.0,,0.0,0.0,False
DP Vijaykumar,Spin,death,1,1,0,0,100.0,,0.0,0.0,False
DPMD Jayawardene,Pace,death,167,280,6,39,167.66,27.8,3.59,23.35,True
DPMD Jayawardene,Pace,middle,404,442,14,48,109.41,28.9,3.47,11.88,True
DPMD Jayawardene,Pace,powerplay,421,490,17,86,116.39,24.8,4.04,20.43,True
DPMD Jayawardene,Spin,death,68,94,3,11,138.24,22.7,4.41,16.18,True
DPMD Jayawardene,Spin,middle,324,381,11,36,117.59,29.5,3.4,11.11,True
DPMD Jayawardene,Spin,powerplay,80,121,5,20,151.25,16.0,6.25,25.0,True
DR Martyn,Pace,death,3,5,1,1,166.67,3.0,33.33,33.33,False
DR Martyn,Pace,middle,10,9,0,0,90.0,,0.0,0.0,False
DR Martyn,Pace,powerplay,3,1,0,0,33.33,,0.0,0.0,False
DR Martyn,Spin,middle,8,4,0,0,50.0,,0.0,0.0,False
DR Sams,Pace,death,16,19,3,2,118.75,5.3,18.75,12.5,False
DR Sams,Pace,middle,8,3,2,0,37.5,4.0,25.0,0.0,False
DR Sams,Pace,powerplay,6,1,1,0,16.67,6.0,16.67,0.0,False
DR Sams,Spin,death,8,8,3,1,100.0,2.7,37.5,12.5,False
DR Sams,Spin,middle,6,13,0,1,216.67,,0.0,16.67,False
DR Shorey,Pace,middle,9,8,1,1,88.89,9.0,11.11,11.11,False
DR Shorey,Spin,middle,8,5,1,0,62.5,8.0,12.5,0.0,False
DR Smith,Pace,death,84,128,11,17,152.38,7.6,13.1,20.24,True
DR Smith,Pace,middle,311,451,12,64,145.02,25.9,3.86,20.58,True
DR Smith,Pace,powerplay,727,842,19,142,115.82,38.3,2.61,19.53,True
DR Smith,Spin,death,27,40,5,4,148.15,5.4,18.52,14.81,False
DR Smith,Spin,middle,366,553,26,75,151.09,14.1,7.1,20.49,True
DR Smith,Spin,powerplay,249,371,6,60,149.0,41.5,2.41,24.1,True
DS Kulkarni,Pace,death,73,65,2,6,89.04,36.5,2.74,8.22,True
DS Kulkarni,Pace,middle,4,3,1,0,75.0,4.0,25.0,0.0,False
DS Kulkarni,Spin,death,25,34,1,3,136.0,25.0,4.0,12.0,False
DS Kulkarni,Spin,middle,6,2,1,0,33.33,6.0,16.67,0.0,False
DS Lehmann,Pace,middle,13,9,2,1,69.23,6.5,15.38,7.69,False
DS Lehmann,Pace,powerplay,3,4,0,1,133.33,,0.0,33.33,False
DS Lehmann,Spin,middle,2,5,0,1,250.0,,0.0,50.0,False
DS Rathi,Pace,death,7,2,1,0,28.57,7.0,14.29,0.0,False
DS Rathi,Unknown,death,1,1,0,0,100.0,,0.0,0.0,False
DT Christian,Pace,death,168,234,18,25,139.29,9.3,10.71,14.88,True
DT Christian,Pace,middle,87,89,4,8,102.3,21.8,4.6,9.2,True
DT Christian,Pace,powerplay,7,2,1,0,28.57,7.0,14.29,0.0,False
DT Christian,Spin,death,55,75,1,7,136.36,55.0,1.82,12.73,True
DT Christian,Spin,middle,80,59,3,2,73.75,26.7,3.75,2.5,True
DT Christian,Spin,powerplay,1,1,0,0,100.0,,0.0,0.0,False
DT Patil,Pace,middle,5,3,0,0,60.0,,0.0,0.0,False
DT Patil,Spin,death,1,4,0,1,400.0,,0.0,100.0,False
DT Patil,Spin,middle,7,6,1,0,85.71,7.0,14.29,0.0,False
DV Malewar,Pace,powerplay,4,2,1,0,50.0,4.0,25.0,0.0,False
DV Malewar,Spin,powerplay,1,0,1,0,0.0,1.0,100.0,0.0,False
DW Steyn,Pace,death,137,150,17,16,109.49,8.1,12.41,11.68,True
DW Steyn,Spin,death,14,13,2,1,92.86,7.0,14.29,7.14,False
DW Steyn,Spin,middle,9,4,0,0,44.44,,0.0,0.0,False
Dhruv Jurel,Pace,death,224,389,14,50,173.66,16.0,6.25,22.32,True
Dhruv Jurel,Pace,middle,140,227,4,33,162.14,35.0,2.86,23.57,True
Dhruv Jurel,Pace,powerplay,70,111,2,19,158.57,35.0,2.86,27.14,True
Dhruv Jurel,Spin,death,48,84,0,10,175.0,,0.0,20.83,True
Dhruv Jurel,Spin,middle,213,252,12,28,118.31,17.8,5.63,13.15,True
Dhruv Jurel,Spin,powerplay,14,15,1,2,107.14,14.0,7.14,14.29,False
Dhruv Jurel,Unknown,death,7,12,0,1,171.43,,0.0,14.29,False
Dhruv Jurel,Unknown,middle,50,80,1,12,160.0,50.0,2.0,24.0,True
Dhruv Jurel,Unknown,powerplay,9,25,1,5,277.78,9.0,11.11,55.56,False
E Lewis,Pace,death,21,32,1,5,152.38,21.0,4.76,23.81,False
E Lewis,Pace,middle,68,78,5,9,114.71,13.6,7.35,13.24,True
E Lewis,Pace,powerplay,217,318,10,53,146.54,21.7,4.61,24.42,True
E Lewis,Spin,middle,102,124,5,14,121.57,20.4,4.9,13.73,True
E Lewis,Spin,powerplay,69,102,3,17,147.83,23.0,4.35,24.64,True
E Malinga,Pace,death,9,4,1,0,44.44,9.0,11.11,0.0,False
E Malinga,Pace,middle,2,0,0,0,0.0,,0.0,0.0,False
E Malinga,Spin,middle,2,1,0,0,50.0,,0.0,0.0,False
E Malinga,Unknown,death,4,2,0,0,50.0,,0.0,0.0,False
EJG Morgan,Pace,death,265,445,18,55,167.92,14.7,6.79,20.75,True
EJG Morgan,Pace,middle,298,334,12,42,112.08,24.8,4.03,14.09,True
EJG Morgan,Pace,powerplay,167,145,5,23,86.83,33.4,2.99,13.77,True
EJG Morgan,Spin,death,49,71,5,11,144.9,9.8,10.2,22.45,True
EJG Morgan,Spin,middle,344,380,12,41,110.47,28.7,3.49,11.92,True
EJG Morgan,Spin,powerplay,25,31,2,4,124.0,12.5,8.0,16.0,False
ER Dwivedi,Pace,death,7,14,1,2,200.0,7.0,14.29,28.57,False
ER Dwivedi,Pace,powerplay,5,5,1,1,100.0,5.0,20.0,20.0,False
ER Dwivedi,Spin,death,2,5,0,1,250.0,,0.0,50.0,False
F Behardien,Pace,death,12,14,1,2,116.67,12.0,8.33,16.67,False
F Behardien,Spin,middle,1,0,1,0,0.0,1.0,100.0,0.0,False
F du Plessis,Pace,death,243,468,22,67,192.59,11.0,9.05,27.57,True
F du Plessis,Pace,middle,562,769,21,82,136.83,26.8,3.74,14.59,True
F du Plessis,Pace,powerplay,1285,1833,36,299,142.65,35.7,2.8,23.27,True
F du Plessis,Spin,death,73,100,5,10,136.99,14.6,6.85,13.7,True
F du Plessis,Spin,middle,964,1155,26,92,119.81,37.1,2.7,9.54,True
F du Plessis,Spin,powerplay,384,442,14,63,115.1,27.4,3.65,16.41,True
F du Plessis,Unknown,powerplay,4,6,0,1,150.0,,0.0,25.0,False
FA Allen,Pace,death,7,4,2,0,57.14,3.5,28.57,0.0,False
FA Allen,Pace,middle,5,2,0,0,40.0,,0.0,0.0,False
FA Allen,Spin,death,6,7,0,1,116.67,,0.0,16.67,False
FA Allen,Spin,middle,1,1,0,0,100.0,,0.0,0.0,False
FH Allen,Pace,middle,14,32,0,4,228.57,,0.0,28.57,False
FH Allen,Pace,powerplay,96,176,8,34,183.33,12.0,8.33,35.42,True
FH Allen,Spin,middle,36,110,1,18,305.56,36.0,2.78,50.0,True
FH Allen,Spin,powerplay,17,31,1,5,182.35,17.0,5.88,29.41,False
FH Edwards,Pace,death,4,3,1,0,75.0,4.0,25.0,0.0,False
FH Edwards,Spin,death,1,1,0,0,100.0,,0.0,0.0,False
FY Fazal,Pace,death,25,32,0,5,128.0,,0.0,20.0,False
FY Fazal,Pace,middle,33,32,0,3,96.97,,0.0,9.09,True
FY Fazal,Pace,powerplay,75,74,3,11,98.67,25.0,4.0,14.67,True
FY Fazal,Spin,death,7,6,1,0,85.71,7.0,14.29,0.0,False
FY Fazal,Spin,middle,29,37,2,4,127.59,14.5,6.9,13.79,False
FY Fazal,Spin,powerplay,4,2,0,0,50.0,,0.0,0.0,False
Fazalhaq Farooqi,Pace,death,10,4,0,0,40.0,,0.0,0.0,False
Fazalhaq Farooqi,Spin,death,5,1,0,0,20.0,,0.0,0.0,False
G Coetzee,Pace,death,21,23,4,3,109.52,5.2,19.05,14.29,False
G Coetzee,Pace,middle,4,4,1,1,100.0,4.0,25.0,25.0,False
G Coetzee,Spin,death,3,0,1,0,0.0,3.0,33.33,0.0,False
G Coetzee,Spin,middle,5,4,0,0,80.0,,0.0,0.0,False
G Gambhir,Pace,death,126,186,12,23,147.62,10.5,9.52,18.25,True
G Gambhir,Pace,middle,650,785,24,87,120.77,27.1,3.69,13.38,True
G Gambhir,Pace,powerplay,1583,1906,54,291,120.4,29.3,3.41,18.38,True
G Gambhir,Spin,death,60,84,2,11,140.0,30.0,3.33,18.33,True
G Gambhir,Spin,middle,700,885,21,86,126.43,33.3,3.0,12.29,True
G Gambhir,Spin,powerplay,285,371,6,53,130.18,47.5,2.11,18.6,True
GB Hogg,Pace,death,22,22,2,1,100.0,11.0,9.09,4.55,False
GC Smith,Pace,death,29,49,1,7,168.97,29.0,3.45,24.14,False
GC Smith,Pace,middle,79,110,3,13,139.24,26.3,3.8,16.46,True
GC Smith,Pace,powerplay,363,357,13,57,98.35,27.9,3.58,15.7,True
GC Smith,Spin,death,11,17,2,3,154.55,5.5,18.18,27.27,False
GC Smith,Spin,middle,162,189,7,21,116.67,23.1,4.32,12.96,True
GC Smith,Spin,powerplay,24,17,0,2,70.83,,0.0,8.33,False
GC Viljoen,Pace,death,7,3,2,0,42.86,3.5,28.57,0.0,False
GD McGrath,Pace,death,5,4,1,1,80.0,5.0,20.0,20.0,False
GD Phillips,Pace,death,39,70,4,11,179.49,9.8,10.26,28.21,True
GD Phillips,Pace,middle,32,27,3,1,84.38,10.7,9.38,3.12,True
GD Phillips,Pace,powerplay,7,1,0,0,14.29,,0.0,0.0,False
GD Phillips,Spin,death,7,6,0,0,85.71,,0.0,0.0,False
GD Phillips,Spin,middle,19,25,4,3,131.58,4.8,21.05,15.79,False
GD Phillips,Spin,powerplay,1,0,0,0,0.0,,0.0,0.0,False
GD Phillips,Unknown,powerplay,4,3,0,0,75.0,,0.0,0.0,False
GF Linde,Pace,death,13,18,2,3,138.46,6.5,15.38,23.08,False
GF Linde,Spin,death,3,8,0,2,266.67,,0.0,66.67,False
GF Linde,Unknown,death,5,5,1,1,100.0,5.0,20.0,20.0,False
GH Vihari,Pace,death,57,63,7,7,110.53,8.1,12.28,12.28,True
GH Vihari,Pace,middle,66,65,3,6,98.48,22.0,4.55,9.09,True
GH Vihari,Pace,powerplay,82,52,4,5,63.41,20.5,4.88,6.1,True
GH Vihari,Spin,death,13,17,2,1,130.77,6.5,15.38,7.69,False
GH Vihari,Spin,middle,95,80,3,5,84.21,31.7,3.16,5.26,True
GH Vihari,Spin,powerplay,8,7,0,0,87.5,,0.0,0.0,False
GHS Garton,Pace,death,4,2,1,0,50.0,4.0,25.0,0.0,False
GJ Bailey,Pace,death,122,236,6,33,193.44,20.3,4.92,27.05,True
GJ Bailey,Pace,middle,99,103,6,11,104.04,16.5,6.06,11.11,True
GJ Bailey,Pace,powerplay,113,120,1,23,106.19,113.0,0.88,20.35,True
GJ Bailey,Spin,death,65,91,3,7,140.0,21.7,4.62,10.77,True
GJ Bailey,Spin,middle,130,102,6,3,78.46,21.7,4.62,2.31,True
GJ Bailey,Spin,powerplay,15,11,1,1,73.33,15.0,6.67,6.67,False
GJ Maxwell,Pace,death,250,441,21,65,176.4,11.9,8.4,26.0,True
GJ Maxwell,Pace,middle,468,679,19,95,145.09,24.6,4.06,20.3,True
GJ Maxwell,Pace,powerplay,231,296,15,52,128.14,15.4,6.49,22.51,True
GJ Maxwell,Spin,death,90,166,10,23,184.44,9.0,11.11,25.56,True
GJ Maxwell,Spin,middle,701,1101,45,141,157.06,15.6,6.42,20.11,True
GJ Maxwell,Spin,powerplay,78,137,3,23,175.64,26.0,3.85,29.49,True
GR Napier,Pace,middle,2,2,0,0,100.0,,0.0,0.0,False
GR Napier,Spin,death,4,5,1,1,125.0,4.0,25.0,25.0,False
GR Napier,Spin,middle,10,8,0,0,80.0,,0.0,0.0,False
Gulbadin Naib,Pace,death,6,3,1,0,50.0,6.0,16.67,0.0,False
Gulbadin Naib,Spin,death,4,12,0,2,300.0,,0.0,50.0,False
Gulbadin Naib,Spin,middle,5,4,0,0,80.0,,0.0,0.0,False
Gurkeerat Singh,Pace,death,118,183,10,26,155.08,11.8,8.47,22.03,True
Gurkeerat Singh,Pace,middle,108,103,3,12,95.37,36.0,2.78,11.11,True
Gurkeerat Singh,Pace,powerplay,29,24,0,4,82.76,,0.0,13.79,False
Gurkeerat Singh,Spin,death,44,68,2,10,154.55,22.0,4.55,22.73,True
Gurkeerat Singh,Spin,middle,115,122,6,12,106.09,19.2,5.22,10.43,True
Gurkeerat Singh,Spin,powerplay,8,11,1,2,137.5,8.0,12.5,25.0,False
H Das,Pace,death,5,2,0,0,40.0,,0.0,0.0,False
H Klaasen,Pace,death,290,543,23,73,187.24,12.6,7.93,25.17,True
H Klaasen,Pace,middle,355,539,8,66,151.83,44.4,2.25,18.59,True
H Klaasen,Pace,powerplay,56,56,2,8,100.0,28.0,3.57,14.29,True
H Klaasen,Spin,death,85,191,3,25,224.71,28.3,3.53,29.41,True
H Klaasen,Spin,middle,404,655,10,78,162.13,40.4,2.48,19.31,True
H Klaasen,Spin,powerplay,25,47,1,7,188.0,25.0,4.0,28.0,False
H Klaasen,Unknown,death,8,4,1,0,50.0,8.0,12.5,0.0,False
H Klaasen,Unknown,middle,36,62,1,8,172.22,36.0,2.78,22.22,True
H Klaasen,Unknown,powerplay,3,7,0,1,233.33,,0.0,33.33,False
HC Brook,Pace,death,16,18,1,1,112.5,16.0,6.25,6.25,False
HC Brook,Pace,middle,14,27,1,5,192.86,14.0,7.14,35.71,False
HC Brook,Pace,powerplay,72,82,4,15,113.89,18.0,5.56,20.83,True
HC Brook,Spin,death,9,18,0,3,200.0,,0.0,33.33,False
HC Brook,Spin,middle,31,31,3,2,100.0,10.3,9.68,6.45,True
HC Brook,Spin,powerplay,12,14,0,1,116.67,,0.0,8.33,False
HE van der Dussen,Pace,death,10,12,0,1,120.0,,0.0,10.0,False
HE van der Dussen,Pace,middle,10,9,1,1,90.0,10.0,10.0,10.0,False
HE van der Dussen,Spin,middle,4,1,1,0,25.0,4.0,25.0,0.0,False
HF Gurney,Pace,death,2,1,0,0,50.0,,0.0,0.0,False
HF Gurney,Spin,death,3,0,0,0,0.0,,0.0,0.0,False
HH Gibbs,Pace,death,30,41,0,3,136.67,,0.0,10.0,True
HH Gibbs,Pace,middle,156,196,5,25,125.64,31.2,3.21,16.03,True
HH Gibbs,Pace,powerplay,298,329,12,53,110.4,24.8,4.03,17.79,True
HH Gibbs,Spin,death,16,31,0,5,193.75,,0.0,31.25,False
HH Gibbs,Spin,middle,189,171,10,11,90.48,18.9,5.29,5.82,True
HH Gibbs,Spin,powerplay,118,118,2,17,100.0,59.0,1.69,14.41,True
HH Pandya,Pace,death,747,1282,58,175,171.62,12.9,7.76,23.43,True
HH Pandya,Pace,middle,420,550,14,68,130.95,30.0,3.33,16.19,True
HH Pandya,Pace,powerplay,149,156,6,26,104.7,24.8,4.03,17.45,True
HH Pandya,Spin,death,139,202,4,25,145.32,34.8,2.88,17.99,True
HH Pandya,Spin,middle,514,696,19,81,135.41,27.1,3.7,15.76,True
HH Pandya,Spin,powerplay,30,22,2,2,73.33,15.0,6.67,6.67,True
HH Pandya,Unknown,death,9,26,0,4,288.89,,0.0,44.44,False
HH Pandya,Unknown,middle,14,25,0,3,178.57,,0.0,21.43,False
HH Pandya,Unknown,powerplay,3,5,0,1,166.67,,0.0,33.33,False
HM Amla,Pace,death,52,122,2,21,234.62,26.0,3.85,40.38,True
HM Amla,Pace,middle,54,71,1,8,131.48,54.0,1.85,14.81,True
HM Amla,Pace,powerplay,170,220,6,34,129.41,28.3,3.53,20.0,True
HM Amla,Spin,middle,102,123,3,11,120.59,34.0,2.94,10.78,True
HM Amla,Spin,powerplay,29,41,0,7,141.38,,0.0,24.14,False
HR Shokeen,Pace,death,15,18,1,3,120.0,15.0,6.67,20.0,False
HR Shokeen,Pace,middle,16,13,1,1,81.25,16.0,6.25,6.25,False
HR Shokeen,Pace,powerplay,5,1,0,0,20.0,,0.0,0.0,False
HR Shokeen,Spin,death,2,5,0,1,250.0,,0.0,50.0,False
HR Shokeen,Spin,middle,27,29,1,4,107.41,27.0,3.7,14.81,False
HV Patel,Pace,death,134,175,20,21,130.6,6.7,14.93,15.67,True
HV Patel,Pace,middle,37,39,3,5,105.41,12.3,8.11,13.51,True
HV Patel,Spin,death,28,38,1,5,135.71,28.0,3.57,17.86,False
HV Patel,Spin,middle,39,28,3,2,71.79,13.0,7.69,5.13,True
Harbhajan Singh,Pace,death,339,535,28,80,157.82,12.1,8.26,23.6,True
Harbhajan Singh,Pace,middle,79,92,5,13,116.46,15.8,6.33,16.46,True
Harbhajan Singh,Pace,powerplay,36,54,2,8,150.0,18.0,5.56,22.22,True
Harbhajan Singh,Spin,death,73,89,6,12,121.92,12.2,8.22,16.44,True
Harbhajan Singh,Spin,middle,62,55,4,7,88.71,15.5,6.45,11.29,True
Harbhajan Singh,Spin,powerplay,15,8,1,1,53.33,15.0,6.67,6.67,False
Harmeet Singh,Pace,death,8,14,0,2,175.0,,0.0,25.0,False
Harmeet Singh,Spin,death,4,4,2,1,100.0,2.0,50.0,25.0,False
Harpreet Brar,Pace,death,120,172,4,21,143.33,30.0,3.33,17.5,True
Harpreet Brar,Pace,middle,23,18,3,3,78.26,7.7,13.04,13.04,False
Harpreet Brar,Spin,death,32,37,2,4,115.62,16.0,6.25,12.5,True
Harpreet Brar,Spin,middle,31,22,1,2,70.97,31.0,3.23,6.45,True
Harpreet Singh,Pace,death,26,39,2,5,150.0,13.0,7.69,19.23,False
Harpreet Singh,Pace,middle,20,13,0,0,65.0,,0.0,0.0,False
Harpreet Singh,Pace,powerplay,28,29,0,5,103.57,,0.0,17.86,False
Harpreet Singh,Spin,death,12,11,1,0,91.67,12.0,8.33,0.0,False
Harpreet Singh,Spin,middle,32,30,2,3,93.75,16.0,6.25,9.38,True
Harpreet Singh,Spin,powerplay,1,1,0,0,100.0,,0.0,0.0,False
Harsh Dubey,Pace,death,9,13,2,2,144.44,4.5,22.22,22.22,False
Harshit Rana,Pace,death,28,25,2,4,89.29,14.0,7.14,14.29,False
Harshit Rana,Pace,middle,9,5,1,0,55.56,9.0,11.11,0.0,False
Harshit Rana,Spin,death,3,5,0,1,166.67,,0.0,33.33,False
Harshit Rana,Spin,middle,12,24,0,3,200.0,,0.0,25.0,False
Harshit Rana,Unknown,death,3,0,0,0,0.0,,0.0,0.0,False
Harshit Rana,Unknown,middle,1,0,1,0,0.0,1.0,100.0,0.0,False
Himmat Singh,Pace,death,27,42,2,5,155.56,13.5,7.41,18.52,False
Himmat Singh,Pace,middle,8,8,0,1,100.0,,0.0,12.5,False
Himmat Singh,Spin,death,12,23,0,3,191.67,,0.0,25.0,False
Himmat Singh,Spin,middle,19,16,1,1,84.21,19.0,5.26,5.26,False
Himmat Singh,Unknown,middle,3,3,0,0,100.0,,0.0,0.0,False
I Malhotra,Pace,death,4,7,0,1,175.0,,0.0,25.0,False
I Sharma,Pace,death,38,29,3,2,76.32,12.7,7.89,5.26,True
I Sharma,Pace,middle,12,11,1,2,91.67,12.0,8.33,16.67,False
I Sharma,Spin,death,17,16,1,2,94.12,17.0,5.88,11.76,False
I Sharma,Spin,middle,2,1,0,0,50.0,,0.0,0.0,False
I Udana,Pace,death,11,15,3,2,136.36,3.7,27.27,18.18,False
IC Pandey,Spin,death,2,0,1,0,0.0,2.0,50.0,0.0,False
IK Pathan,Pace,death,347,514,18,66,148.13,19.3,5.19,19.02,True
IK Pathan,Pace,middle,217,212,9,16,97.7,24.1,4.15,7.37,True
IK Pathan,Pace,powerplay,64,88,2,14,137.5,32.0,3.12,21.88,True
IK Pathan,Spin,death,97,149,6,20,153.61,16.2,6.19,20.62,True
IK Pathan,Spin,middle,220,183,9,10,83.18,24.4,4.09,4.55,True
IK Pathan,Spin,powerplay,5,4,0,0,80.0,,0.0,0.0,False
IR Jaggi,Pace,death,11,11,0,0,100.0,,0.0,0.0,False
IR Jaggi,Pace,middle,18,21,0,3,116.67,,0.0,16.67,False
IR Jaggi,Pace,powerplay,23,15,0,2,65.22,,0.0,8.7,False
IR Jaggi,Spin,death,3,2,1,0,66.67,3.0,33.33,0.0,False
IR Jaggi,Spin,middle,28,17,3,0,60.71,9.3,10.71,0.0,False
IR Jaggi,Spin,powerplay,14,10,1,1,71.43,14.0,7.14,7.14,False
IS Sodhi,Pace,death,8,4,2,0,50.0,4.0,25.0,0.0,False
IS Sodhi,Spin,death,2,1,0,0,50.0,,0.0,0.0,False
IS Sodhi,Spin,middle,7,2,0,0,28.57,,0.0,0.0,False
Imran Tahir,Pace,death,21,18,1,2,85.71,21.0,4.76,9.52,False
Imran Tahir,Pace,middle,6,4,1,1,66.67,6.0,16.67,16.67,False
Imran Tahir,Spin,death,10,11,1,2,110.0,10.0,10.0,20.0,False
Iqbal Abdulla,Pace,death,50,59,1,8,118.0,50.0,2.0,16.0,True
Iqbal Abdulla,Pace,middle,17,13,0,1,76.47,,0.0,5.88,False
Iqbal Abdulla,Spin,death,9,11,0,1,122.22,,0.0,11.11,False
Iqbal Abdulla,Spin,middle,8,5,0,0,62.5,,0.0,0.0,False
Ishan Kishan,Pace,death,175,340,16,53,194.29,10.9,9.14,30.29,True
Ishan Kishan,Pace,middle,474,688,26,87,145.15,18.2,5.49,18.35,True
Ishan Kishan,Pace,powerplay,864,1205,29,200,139.47,29.8,3.36,23.15,True
Ishan Kishan,Spin,death,43,70,4,9,162.79,10.8,9.3,20.93,True
Ishan Kishan,Spin,middle,697,948,29,108,136.01,24.0,4.16,15.49,True
Ishan Kishan,Spin,powerplay,222,284,5,46,127.93,44.4,2.25,20.72,True
Ishan Kishan,Unknown,death,2,6,1,1,300.0,2.0,50.0,50.0,False
Ishan Kishan,Unknown,middle,14,24,1,3,171.43,14.0,7.14,21.43,False
Ishan Kishan,Unknown,powerplay,17,35,0,7,205.88,,0.0,41.18,False
J Arunkumar,Pace,powerplay,23,23,2,5,100.0,11.5,8.7,21.74,False
J Botha,Pace,death,85,116,9,14,136.47,9.4,10.59,16.47,True
J Botha,Pace,middle,83,95,3,10,114.46,27.7,3.61,12.05,True
J Botha,Pace,powerplay,47,37,1,6,78.72,47.0,2.13,12.77,True
J Botha,Spin,death,38,43,1,4,113.16,38.0,2.63,10.53,True
J Botha,Spin,middle,101,110,4,9,108.91,25.2,3.96,8.91,True
J Botha,Spin,powerplay,5,8,0,1,160.0,,0.0,20.0,False
J Fraser-McGurk,Pace,middle,22,25,1,2,113.64,22.0,4.55,9.09,False
J Fraser-McGurk,Pace,powerplay,117,231,8,45,197.44,14.6,6.84,38.46,True
J Fraser-McGurk,Spin,middle,27,62,3,10,229.63,9.0,11.11,37.04,False
J Fraser-McGurk,Spin,powerplay,27,67,2,12,248.15,13.5,7.41,44.44,False
J Overton,Pace,death,53,83,1,12,156.6,53.0,1.89,22.64,True
J Overton,Pace,middle,11,23,0,3,209.09,,0.0,27.27,False
J Overton,Spin,death,7,19,2,4,271.43,3.5,28.57,57.14,False
J Overton,Spin,middle,15,20,0,2,133.33,,0.0,13.33,False
J Overton,Unknown,death,3,2,1,0,66.67,3.0,33.33,0.0,False
J Overton,Unknown,middle,4,4,0,0,100.0,,0.0,0.0,False
J Suchith,Pace,death,24,38,1,5,158.33,24.0,4.17,20.83,False
J Suchith,Pace,middle,13,7,0,1,53.85,,0.0,7.69,False
J Suchith,Spin,death,7,18,1,3,257.14,7.0,14.29,42.86,False
J Suchith,Spin,middle,17,7,1,0,41.18,17.0,5.88,0.0,False
J Syed Mohammad,Pace,death,14,19,1,3,135.71,14.0,7.14,21.43,False
J Syed Mohammad,Pace,middle,6,7,1,1,116.67,6.0,16.67,16.67,False
J Syed Mohammad,Spin,death,1,1,0,0,100.0,,0.0,0.0,False
J Syed Mohammad,Spin,middle,5,2,0,0,40.0,,0.0,0.0,False
J Theron,Pace,death,10,9,1,1,90.0,10.0,10.0,10.0,False
J Theron,Spin,death,2,1,0,0,50.0,,0.0,0.0,False
J Yadav,Pace,death,13,11,1,1,84.62,13.0,7.69,7.69,False
J Yadav,Pace,middle,4,5,0,1,125.0,,0.0,25.0,False
J Yadav,Spin,death,14,20,1,1,142.86,14.0,7.14,7.14,False
J Yadav,Spin,middle,5,4,0,0,80.0,,0.0,0.0,False
JA Morkel,Pace,death,313,481,22,60,153.67,14.2,7.03,19.17,True
JA Morkel,Pace,middle,114,106,2,10,92.98,57.0,1.75,8.77,True
JA Morkel,Pace,powerplay,13,18,0,3,138.46,,0.0,23.08,False
JA Morkel,Spin,death,95,156,5,17,164.21,19.0,5.26,17.89,True
JA Morkel,Spin,middle,152,214,7,26,140.79,21.7,4.61,17.11,True
JA Richardson,Pace,death,4,2,2,0,50.0,2.0,50.0,0.0,False
JA Richardson,Pace,middle,7,6,0,1,85.71,,0.0,14.29,False
JA Richardson,Spin,middle,15,9,1,1,60.0,15.0,6.67,6.67,False
JC Archer,Pace,death,149,247,16,31,165.77,9.3,10.74,20.81,True
JC Archer,Pace,middle,34,37,3,6,108.82,11.3,8.82,17.65,True
JC Archer,Pace,powerplay,4,0,1,0,0.0,4.0,25.0,0.0,False
JC Archer,Spin,death,17,17,0,1,100.0,,0.0,5.88,False
JC Archer,Spin,middle,19,23,2,2,121.05,9.5,10.53,10.53,False
JC Archer,Unknown,death,2,2,0,0,100.0,,0.0,0.0,False
JC Buttler,Pace,death,305,625,17,93,204.92,17.9,5.57,30.49,True
JC Buttler,Pace,middle,603,891,22,122,147.76,27.4,3.65,20.23,True
JC Buttler,Pace,powerplay,1071,1491,36,255,139.22,29.8,3.36,23.81,True
JC Buttler,Spin,death,103,166,6,18,161.17,17.2,5.83,17.48,True
JC Buttler,Spin,middle,758,1066,23,120,140.63,33.0,3.03,15.83,True
JC Buttler,Spin,powerplay,227,356,5,55,156.83,45.4,2.2,24.23,True
JC Buttler,Unknown,death,9,13,2,2,144.44,4.5,22.22,22.22,False
JC Buttler,Unknown,middle,19,31,0,4,163.16,,0.0,21.05,False
JC Buttler,Unknown,powerplay,10,8,1,1,80.0,10.0,10.0,10.0,False
JD Ryder,Pace,death,27,44,1,5,162.96,27.0,3.7,18.52,False
JD Ryder,Pace,middle,35,45,3,7,128.57,11.7,8.57,20.0,True
JD Ryder,Pace,powerplay,229,318,10,55,138.86,22.9,4.37,24.02,True
JD Ryder,Spin,death,1,1,0,0,100.0,,0.0,0.0,False
JD Ryder,Spin,middle,69,74,5,5,107.25,13.8,7.25,7.25,True
JD Ryder,Spin,powerplay,97,122,7,16,125.77,13.9,7.22,16.49,True
JD Unadkat,Pace,death,106,141,8,16,133.02,13.2,7.55,15.09,True
JD Unadkat,Pace,middle,14,16,1,3,114.29,14.0,7.14,21.43,False
