bowler,bowling_style,batting_style,playing_role,balls_bowled
Prince Yadav,Right-arm fast,Right-hand bat,,475
IC Pandey,Right arm Medium,Right hand Bat,Bowler,469
GB Hogg,Left arm Wrist spin,Left hand Bat,Allrounder,466
Mujeeb Ur Rahman,Right arm Offbreak,Right hand Bat,Bowler,465
CR Woakes,Right arm Fast medium,Right hand Bat,Allrounder,463
RE van der Merwe,Slow Left arm Orthodox,Right hand Bat,Allrounder,455
AS Joseph,Right arm Fast,Right hand Bat,Bowler,454
RR Powar,Right arm Offbreak,Right hand Bat,Bowler,443
MF Maharoof,Right arm Fast medium,Right hand Bat,Allrounder,441
Bipul Sharma,Slow Left arm Orthodox,Left hand Bat,Allrounder,436
J Suchith,Slow Left arm Orthodox,Left hand Bat,Bowler,434
Anureet Singh,Right arm Medium,Right hand Bat,Bowler,430
PVD Chameera,Right arm Fast,Right hand Bat,Bowler,420
Mohammad Nabi,Right arm Offbreak,Right hand Bat,Allrounder,419
RP Meredith,Right arm Fast,Right hand Bat,Bowler,415
Naveen-ul-Haq,Right arm Medium fast,Right hand Bat,Bowler,407
Arshad Khan,Right arm Offbreak,Right hand Bat,Bowler,400
J Yadav,Right arm Offbreak,Right hand Bat,Bowler,398
DJ Hooda,Right arm Offbreak,Right hand Bat,Allrounder,391
BW Hilfenhaus,Right arm Fast medium,Right hand Bat,Bowler,390
NT Ellis,Right arm Fast medium,Right hand Bat,Bowler,390
DR Sams,Left arm Fast medium,Right hand Bat,Allrounder,389
N Burger,Left arm Medium fast,Left hand Bat,Bowling Allrounder,383
R Shepherd,Right arm Fast medium,Right hand Bat,Bowling Allrounder,381
JP Behrendorff,Left arm Fast medium,Right hand Bat,Bowler,379
Akash Madhwal,Right arm Medium fast,Right hand Bat,Bowler,376
Ankit Sharma,Slow Left arm Orthodox,Left hand Bat,Bowler,375
Abhishek Sharma,Slow Left arm Orthodox,Left hand Bat,Allrounder,374
R McLaren,Right arm Medium fast,Left hand Bat,Allrounder,372
VRV Singh,Right arm Medium fast,Right hand Bat,,371
Azmatullah Omarzai,Right arm Medium fast,Right hand Bat,Allrounder,369
JR Hopes,Right arm Medium,Right hand Bat,Allrounder,369
AN Ahmed,Right arm Medium fast,Right hand Bat,Bowler,362
VY Mahesh,Right arm Medium fast,Right hand Bat,Allrounder,359
AS Roy,Slow Left arm Orthodox,Left hand Bat,Allrounder,351
Nithish Kumar Reddy,Right arm Medium fast,Right hand Bat,Batting Allrounder,349
RG Sharma,Right arm Offbreak,Right hand Bat,Top order Batter,349
KW Richardson,Right arm Fast medium,Right hand Bat,Bowler,345
R Parag,Legbreak,Right hand Bat,Top order Batter,334
GD McGrath,Right arm Fast medium,Right hand Bat,Bowler,329
AC Thomas,Right arm Fast medium,Right hand Bat,Bowler,327
LR Shukla,Right arm Medium,Right hand Bat,Allrounder,326
DJ Hussey,Right arm Offbreak,Right hand Bat,Allrounder,323
LS Livingstone,Legbreak,Right hand Bat,Batting Allrounder,321
KA Jamieson,Right arm Fast medium,Right hand Bat,Bowler,315
CJ Anderson,Left arm Medium fast,Left hand Bat,Batting Allrounder,315
A Mithun,Right arm Medium,Right hand Bat,Bowler,312
Pankaj Singh,Right arm Medium fast,Right hand Bat,Bowler,311
AD Mascarenhas,Right arm Fast medium,Right hand Bat,Allrounder,310
D Wiese,Right arm Medium fast,Right hand Bat,Allrounder,307
SJ Srivastava,Left arm Fast medium,Right hand Bat,Bowler,306
BA Bhatt,Slow Left arm Orthodox,Left hand Bat,Bowler,303
Akash Deep,Right arm Fast medium,Right hand Bat,Bowling Allrounder,302
V Nigam,Legbreak,Right-hand bat,,301
ST Jayasuriya,Slow Left arm Orthodox,Left hand Bat,Allrounder,301
Brijesh Sharma,Unknown,Unknown,Unknown,297
Lalit Yadav,Right arm Offbreak,Right hand Bat,Allrounder,294
G Coetzee,Right arm Fast,Right hand Bat,Bowler,292
K Kartikeya,"Slow Left arm Orthodox, Left arm Wrist spin",Right hand Bat,Bowler,290
WPUJC Vaas,Left arm Fast medium,Left hand Bat,Bowler,288
BCJ Cutting,Right arm Fast medium,Right hand Bat,Allrounder,288
SM Pollock,Right arm Fast medium,Right hand Bat,Allrounder,280
SC Ganguly,Right arm Medium,Left hand Bat,Batter,280
R Rampaul,Right arm Fast medium,Left hand Bat,Bowler,278
TM Dilshan,Right arm Offbreak,Right hand Bat,Allrounder,275
Sakib Hussain,Right arm Medium,Right hand Bat,,274
Joginder Sharma,Right arm Fast medium,Right hand Bat,Allrounder,272
A Ashish Reddy,Right arm Medium,Right hand Bat,Allrounder,270
XC Bartlett,Right arm Fast medium,Right hand Bat,Bowler,269
AG Murtaza,Slow Left arm Orthodox,Left hand Bat,Bowler,269
Fazalhaq Farooqi,Left arm Fast medium,Right hand Bat,Bowler,266
CR Brathwaite,Right arm Fast medium,Right hand Bat,Allrounder,266
Sohail Tanvir,Left arm Medium fast,Left hand Bat,Bowler,265
V Kohli,Right arm Medium,Right hand Bat,Top order Batter,264
S Badree,Legbreak,Right hand Bat,Bowler,263
V Shankar,Right arm Medium,Right hand Bat,Allrounder,258
Simarjeet Singh,Right arm Medium fast,Right hand Bat,Bowler,256
Akash Singh,Left arm Medium fast,Right hand Bat,Bowler,256
AA Chavan,Slow Left arm Orthodox,Left hand Bat,Batter,255
KR Sen,Right arm Fast,Right hand Bat,Bowler,255
TK Curran,Right arm Fast medium,Right hand Bat,Bowling Allrounder,252
CRD Fernando,Right arm Fast medium,Right hand Bat,Bowler,249
BAW Mendis,Right arm Offbreak,Right hand Bat,Bowler,248
DJG Sammy,Right arm Medium,Right hand Bat,Allrounder,244
JDP Oram,Right arm Fast medium,Left hand Bat,Allrounder,244
SH Johnson,Left arm Fast medium,Left hand Bat,Bowler,243
JD Ryder,Right arm Medium,Left hand Bat,Allrounder,241
Shivang Kumar,Unknown,Unknown,Unknown,240
AM Nayar,Right arm Medium,Left hand Bat,Allrounder,239
BJ Hodge,Right arm Offbreak,Right hand Bat,Top order Batter,238
AF Milne,Right arm Fast,Right hand Bat,Bowler,238
AM Ghazanfar,Right-arm offbreak,Right-hand bat,,237
J Little,Left arm Fast medium,Right hand Bat,Bowler,236
J Theron,Right arm Medium fast,Right hand Bat,Bowler,235
A Chandila,Right arm Offbreak,Right hand Bat,Allrounder,234
MP Yadav,Right arm Medium fast,Right hand Bat,Bowler,230
AK Markram,Right arm Offbreak,Right hand Bat,Opening Batter,230
C de Grandhomme,Right arm Medium fast,Right hand Bat,Allrounder,230
KC Cariappa,Legbreak,Right hand Bat,Bowler,224
N Rana,"Right arm Medium, Right arm Offbreak",Left hand Bat,Middle order Batter,223
JDS Neesham,Right arm Medium fast,Left hand Bat,Batting Allrounder,222
SB Styris,Right arm Medium,Right hand Bat,Allrounder,222
JL Pattinson,Right arm Fast medium,Left hand Bat,Bowler,222
YA Abdulla,Left arm Fast medium,Left hand Bat,Bowler,222
KP Appanna,Slow Left arm Orthodox,Right hand Bat,,222
Y Venugopal Rao,Right arm Offbreak,Right hand Bat,Middle order Batter,222
DJ Willey,Left arm Fast medium,Left hand Bat,Bowling Allrounder,221
S Tyagi,Right arm Medium,Right hand Bat,Bowler,220
MN Samuels,Right arm Offbreak,Right hand Bat,Top order Batter,219
TS Mills,Left arm Fast,Right hand Bat,Bowler,218
J Overton,Right arm Fast,Right hand Bat,Bowling Allrounder,217
RS Bopara,Right arm Medium,Right hand Bat,Batting Allrounder,213
M Ntini,Right arm Fast,Right hand Bat,Bowler,213
HR Shokeen,Right arm Offbreak,Right hand Bat,Bowler,213
Karanveer Singh,Legbreak Googly,Right hand Bat,,213
VS Malik,Right arm Medium,Right hand Bat,Bowler,212
S Lamichhane,Legbreak Googly,Right hand Bat,Bowler,211
V Pratap Singh,Right arm Medium,Right hand Bat,,211
S Kaushik,Left arm Wrist spin,Right hand Bat,Bowler,210
Zeeshan Ansari,Legbreak Googly,Right hand Bat,,209
WG Jacks,Right arm Offbreak,Right hand Bat,Batter,203
Parvez Rasool,Right arm Offbreak,Right hand Bat,Bowling Allrounder,200
Harsh Dubey,Slow Left arm Orthodox,Left hand Bat,,200
Mohammad Asif,Right arm Fast medium,Left hand Bat,Bowler,199
N Thushara,Right arm Medium fast,Right hand Bat,Bowler,198
J Syed Mohammad,Slow Left arm Orthodox,Left hand Bat,Bowler,196
Ashwani Kumar,Left arm Medium,Left hand Bat,,196
SMSM Senanayake,Right arm Offbreak,Right hand Bat,Bowler,195
M Siddharth,Slow Left arm Orthodox,Right hand Bat,Bowler,193
B Akhil,Right arm Medium fast,Right hand Bat,Bowler,193
SE Bond,Right arm Fast,Right hand Bat,Bowler,191
AB McDonald,Right arm Fast medium,Right hand Bat,Allrounder,188
Yash Raj Punja,Unknown,Unknown,Unknown,186
KL Nagarkoti,Right arm Fast,Right hand Bat,Bowler,185
Shahid Afridi,Legbreak Googly,Right hand Bat,Allrounder,185
IS Sodhi,Legbreak,Right hand Bat,Bowler,182
I Udana,Left arm Medium fast,Right hand Bat,Allrounder,182
KP Pietersen,Right arm Offbreak,Right hand Bat,Top order Batter,180
KMA Paul,Right arm Fast medium,Right hand Bat,Allrounder,180
S Randiv,Right arm Offbreak,Right hand Bat,Bowler,180
OC McCoy,Left arm Fast medium,Left hand Bat,Bowler,180
B Laughlin,Right arm Fast medium,Right hand Bat,Bowler,179
Kamran Khan,Left arm Medium fast,Left hand Bat,Bowler,177
S Sandeep Warrier,Right arm Medium,Right hand Bat,Bowler,176
AJ Hosein,Slow Left arm Orthodox,Left hand Bat,Bowler,175
C Bosch,Right arm Fast medium,Right hand Bat,Allrounder,171
HF Gurney,Left arm Fast medium,Right hand Bat,Bowler,169
PP Hinge,Unknown,Unknown,Unknown,168
MJ Henry,Right arm Fast medium,Right hand Bat,Bowler,166
D Pretorius,Right arm Medium fast,Right hand Bat,Bowling Allrounder,166
CK Langeveldt,Right arm Fast medium,Right hand Bat,Bowler,165
Swapnil Singh,Slow Left arm Orthodox,Right hand Bat,Bowler,165
K Khejroliya,Left arm Medium fast,Left hand Bat,Bowler,163
S Dube,Right arm Medium,Left hand Bat,Allrounder,162
Anand Rajan,Right arm Medium,Right hand Bat,Bowler,162
Gurjapneet Singh,Unknown,Unknown,Unknown,159
P Parameswaran,Left arm Medium,Right hand Bat,,159
DP Vijaykumar,Right arm Medium,Right hand Bat,,159
BE Hendricks,Left arm Fast medium,Left hand Bat,Bowler,157
AM Salvi,Right arm Medium,Right hand Bat,Bowler,156
JA Duffy,Right arm Fast medium,Right hand Bat,Bowler,156
JEC Franklin,Left arm Medium,Left hand Bat,Allrounder,155
LE Plunkett,Right arm Fast,Right hand Bat,Bowler,154
PC Valthaty,Right arm Medium,Right hand Bat,Batter,153
Umar Gul,Right arm Fast medium,Right hand Bat,Bowler,153
SB Bangar,Right arm Medium fast,Right hand Bat,,153
TL Suman,Right arm Offbreak,Right hand Bat,Batter,152
FH Edwards,Right arm Fast,Right hand Bat,Bowler,150
B Stanlake,Right arm Fast,Left hand Bat,Bowler,150
GC Viljoen,Right arm Fast,Right hand Bat,Bowler,146
Yudhvir Singh,Right arm Medium fast,Right hand Bat,Bowler,145
RR Raje,Right arm Fast medium,Right hand Bat,,144
T Thushara,Left arm Fast medium,Left hand Bat,Bowler,144
R Sathish,Right arm Medium,Right hand Bat,Allrounder,144
KM Asif,Right arm Medium,Right hand Bat,Bowler,143
S Ladda,Legbreak,Right hand Bat,Bowler,141
Mayank Dagar,Slow Left arm Orthodox,Right hand Bat,Bowler,138
