bowler,bowling_style,batting_style,playing_role,balls_bowled
MW Short,Right arm Offbreak,Right hand Bat,Top order Batter,45
DJ Thornely,"Right arm Medium, Right arm Offbreak",Right hand Bat,Top order Batter,44
AJ Finch,Slow Left arm Orthodox,Right hand Bat,Top order Batter,44
B Muzarabani,Right arm Fast medium,Right hand Bat,Bowler,44
GH Vihari,Right arm Offbreak,Right hand Bat,Batting Allrounder,43
RS Hangargekar,Right arm Medium,Right hand Bat,Bowling Allrounder,43
D du Preez,Right arm Fast medium,Right hand Bat,,43
SM Boland,Right arm Fast medium,Right hand Bat,Bowler,43
PHKD Mendis,"Right arm Offbreak, Slow Left arm Orthodox",Left hand Bat,Allrounder,42
M Manhas,Right arm Offbreak,Right hand Bat,Allrounder,42
LB Williams,Right arm Medium fast,Left hand Bat,Bowler,42
CJ McKay,Right arm Fast medium,Right hand Bat,Bowler,42
AUK Pathan,Right arm Medium,Right hand Bat,Bowler,41
A Badoni,Right arm Offbreak,Right hand Bat,Batter,41
MD Shanaka,Right arm Medium,Right hand Bat,Allrounder,38
A Uniyal,Left arm Medium,Left hand Bat,,38
L Wood,Left arm Fast medium,Left hand Bat,Bowling Allrounder,38
SD Chitnis,Right arm Offbreak,Right hand Bat,Batter,38
M Vijay,Right arm Offbreak,Right hand Bat,Opening Batter,37
SSB Magala,Right arm Fast medium,Right hand Bat,Bowler,37
RG More,Right arm Medium,Right hand Bat,Bowler,37
T Stubbs,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter,37
SR Tendulkar,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Top order Batter,37
GF Linde,Slow Left arm Orthodox,Left hand Bat,Allrounder,37
R Ninan,Right arm Offbreak,Right hand Bat,Allrounder,36
KA Maharaj,Slow Left arm Orthodox,Right hand Bat,Bowler,36
T Henderson,Right arm Fast medium,Right hand Bat,Bowler,36
Krish Bhagat,Unknown,Unknown,Unknown,36
PH Solanki,Legbreak,Right hand Bat,Bowler,36
SZ Mulani,Slow Left arm Orthodox,Left hand Bat,Allrounder,33
Y Prithvi Raj,Left arm Medium,Left hand Bat,Bowler,33
RA Bawa,Right arm Medium fast,Left hand Bat,Allrounder,32
VS Yeligati,Right arm Offbreak,Right hand Bat,,32
DA Payne,Left arm Fast medium,Right hand Bat,Bowler,31
GD Phillips,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter,31
PM Sarvesh Kumar,Right arm Medium,Right hand Bat,,31
NL McCullum,Right arm Offbreak,Right hand Bat,Bowler,30
